Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Convertible Note - OpsClarity,https://www.crunchbase.com/funding_round/opsclarity-convertible-note--9f21610b,OpsClarity,https://www.crunchbase.com/organization/opsclarity,Convertible Note,"$1,800,000","Nov 1, 2013",,,No,2,
Seed Round - Placemeter,https://www.crunchbase.com/funding_round/placemeter-seed--6afd0a9f,Placemeter,https://www.crunchbase.com/organization/placemeter,Seed,"$1,700,000","Nov 1, 2013",Seed,,Yes,6,3
Series B - Kumu Networks,https://www.crunchbase.com/funding_round/kumu-networks-series-b--cedecaf8,Kumu Networks,https://www.crunchbase.com/organization/kumu-networks,Series B,"$15,000,000","Oct 31, 2013",Early Stage Venture,,Yes,3,3
Series A - IfOnly,https://www.crunchbase.com/funding_round/ifonly-series-a--a6acb84f,IfOnly,https://www.crunchbase.com/organization/ifonly,Series A,"$12,000,000","Oct 28, 2013",Early Stage Venture,,Yes,11,1
Series B - NGINX,https://www.crunchbase.com/funding_round/nginx-series-b--36124ccb,NGINX,https://www.crunchbase.com/organization/nginx,Series B,"$10,000,000","Oct 15, 2013",Early Stage Venture,,Yes,5,3
Seed Round - Silk,https://www.crunchbase.com/funding_round/silk-seed--568912a1,Silk,https://www.crunchbase.com/organization/silk,Seed,"$1,600,000","Oct 7, 2013",Seed,,Yes,1,
Series E - MongoDB,https://www.crunchbase.com/funding_round/mongodb-inc-series-e--5576d45d,MongoDB,https://www.crunchbase.com/organization/mongodb-inc,Series E,"$150,000,000","Oct 4, 2013",Late Stage Venture,"$1,200,000,000",Yes,9,6
Series B - TabbedOut,https://www.crunchbase.com/funding_round/tabbedout-series-b--7f789219,TabbedOut,https://www.crunchbase.com/organization/tabbedout,Series B,"$7,750,000","Oct 4, 2013",Early Stage Venture,,Yes,3,
Seed Round - NodePrime,https://www.crunchbase.com/funding_round/nodeprime-seed--931527f7,NodePrime,https://www.crunchbase.com/organization/nodeprime,Seed,"$1,500,000","Oct 4, 2013",Seed,,Yes,4,2
Venture Round - Cydan,https://www.crunchbase.com/funding_round/cydan-series-unknown--352717d4,Cydan,https://www.crunchbase.com/organization/cydan,Venture - Series Unknown,"$10,000,000","Oct 1, 2013",,,Yes,4,3
Series A - Swiftype,https://www.crunchbase.com/funding_round/swiftype-series-a--2509f21b,Swiftype,https://www.crunchbase.com/organization/swiftype,Series A,"$7,500,000","Sep 27, 2013",Early Stage Venture,,Yes,4,1
Seed Round - Plaid,https://www.crunchbase.com/funding_round/plaid-seed--4bbe2fa4,Plaid,https://www.crunchbase.com/organization/plaid,Seed,"$2,800,000","Sep 19, 2013",Seed,,Yes,5,2
Debt Financing - Zosano Pharma,https://www.crunchbase.com/funding_round/zosano-pharma-debt-financing--251f9c4d,Zosano Pharma,https://www.crunchbase.com/organization/zosano-pharma,Debt Financing,"$3,030,000","Sep 19, 2013",,,No,3,1
Series D - BlueJeans Network,https://www.crunchbase.com/funding_round/blue-jeans-network-series-d--50b5c7ab,BlueJeans Network,https://www.crunchbase.com/organization/blue-jeans-network,Series D,"$50,000,000","Sep 18, 2013",Late Stage Venture,,Yes,4,4
Seed Round - FiscalNote,https://www.crunchbase.com/funding_round/fiscalnote-seed--3c175206,FiscalNote,https://www.crunchbase.com/organization/fiscalnote,Seed,"$1,200,000","Sep 11, 2013",Seed,,Yes,4,1
Series C - Hearsay Systems,https://www.crunchbase.com/funding_round/hearsay-social-series-c--ea93bde1,Hearsay Systems,https://www.crunchbase.com/organization/hearsay-social,Series C,"$30,000,000","Sep 5, 2013",Late Stage Venture,,Yes,2,2
Series E - Lithium Technologies,https://www.crunchbase.com/funding_round/lithiumtechnologies-series-e--ca2bc57b,Lithium Technologies,https://www.crunchbase.com/organization/lithiumtechnologies,Series E,"$50,000,000","Sep 3, 2013",Late Stage Venture,,Yes,2,0
Series B - Hatch Loyalty ,https://www.crunchbase.com/funding_round/belly-series-b--d9072f5e,Hatch Loyalty ,https://www.crunchbase.com/organization/belly,Series B,"$12,100,000","Aug 28, 2013",Early Stage Venture,,Yes,6,1
Series D - Cleversafe,https://www.crunchbase.com/funding_round/cleversafe-series-d--fa32aa3f,Cleversafe,https://www.crunchbase.com/organization/cleversafe,Series D,"$55,000,000","Aug 20, 2013",Late Stage Venture,,Yes,1,2
Seed Round - Swiftype,https://www.crunchbase.com/funding_round/swiftype-seed--c9be55bb,Swiftype,https://www.crunchbase.com/organization/swiftype,Seed,"$1,700,000","Aug 15, 2013",Seed,,Yes,15,2
Seed Round - ThirdLove,https://www.crunchbase.com/funding_round/thirdlove-seed--9686ca88,ThirdLove,https://www.crunchbase.com/organization/thirdlove,Seed,"$5,600,000","Aug 1, 2013",Seed,,Yes,20,2
Series B - Edimer Pharmaceuticals,https://www.crunchbase.com/funding_round/edimer-pharmaceuticals-series-b--e30cb11e,Edimer Pharmaceuticals,https://www.crunchbase.com/organization/edimer-pharmaceuticals,Series B,"$18,000,000","Jul 30, 2013",Early Stage Venture,,Yes,1,1
"Series C - MapR Technologies, Inc.",https://www.crunchbase.com/funding_round/mapr-technologies-series-c--2522db5c,"MapR Technologies, Inc.",https://www.crunchbase.com/organization/mapr-technologies,Series C,"$34,999,994","Jul 26, 2013",Late Stage Venture,,Yes,4,4
Series C - SolidFire,https://www.crunchbase.com/funding_round/solidfire-series-c--2cc5ce76,SolidFire,https://www.crunchbase.com/organization/solidfire,Series C,"$31,000,000","Jul 25, 2013",Late Stage Venture,,Yes,4,6
Series A - TalentBin,https://www.crunchbase.com/funding_round/talentbin-series-a--673fa1bd,TalentBin,https://www.crunchbase.com/organization/talentbin,Series A,"$2,000,000","Jul 16, 2013",Early Stage Venture,,Yes,6,3
Series A - Cartiva,https://www.crunchbase.com/funding_round/cartiva-series-a--e45ed13e,Cartiva,https://www.crunchbase.com/organization/cartiva,Series A,"$4,300,000","Jul 15, 2013",Early Stage Venture,,Yes,1,1
Series A - QBotix,https://www.crunchbase.com/funding_round/qbotix-series-a--da3b0d0b,QBotix,https://www.crunchbase.com/organization/qbotix,Series A,"$5,000,000","Jul 11, 2013",Early Stage Venture,,Yes,3,1
Series A - Philo,https://www.crunchbase.com/funding_round/philo-series-a--61917cdc,Philo,https://www.crunchbase.com/organization/philo,Series A,"$6,300,000","Jul 10, 2013",Early Stage Venture,,Yes,7,3
Series F - CVRx,https://www.crunchbase.com/funding_round/cvrx-series-f--ceb1d856,CVRx,https://www.crunchbase.com/organization/cvrx,Series F,"$29,600,000","Jul 10, 2013",Late Stage Venture,,Yes,4,1
Series A - Zoomdata,https://www.crunchbase.com/funding_round/zoomdata-series-a--639c4b4c,Zoomdata,https://www.crunchbase.com/organization/zoomdata,Series A,"$4,099,999","Jul 10, 2013",Early Stage Venture,,Yes,6,3
Venture Round - NeuroPace,https://www.crunchbase.com/funding_round/neuropace-series-unknown--a9a1fc29,NeuroPace,https://www.crunchbase.com/organization/neuropace,Venture - Series Unknown,"$18,000,000","Jul 9, 2013",,,Yes,5,2
Seed Round - Mattermark,https://www.crunchbase.com/funding_round/mattermark-seed--5d07d54d,Mattermark,https://www.crunchbase.com/organization/mattermark,Seed,"$400,000","Jul 1, 2013",Seed,,Yes,16,
Series C - 3-V Biosciences,https://www.crunchbase.com/funding_round/3-v-biosciences-series-c--00dbbc0e,3-V Biosciences,https://www.crunchbase.com/organization/3-v-biosciences,Series C,"$20,000,000","Jun 21, 2013",Late Stage Venture,,Yes,2,2
Series A - SocialRadar,https://www.crunchbase.com/funding_round/socialradar-series-a--2665b042,SocialRadar,https://www.crunchbase.com/organization/socialradar,Series A,"$12,750,000","Jun 19, 2013",Early Stage Venture,,Yes,12,3
Series B - payleven,https://www.crunchbase.com/funding_round/payleven-series-b--4ec79d11,payleven,https://www.crunchbase.com/organization/payleven,Series B,"€12,500,000","Jun 14, 2013",Early Stage Venture,,Yes,5,1
Series B - Dermira,https://www.crunchbase.com/funding_round/dermira-series-b--ca8ed993,Dermira,https://www.crunchbase.com/organization/dermira,Series B,"$35,000,000","Jun 11, 2013",Early Stage Venture,,Yes,4,3
Private Equity Round - Scratch Music Group,https://www.crunchbase.com/funding_round/scratch-music-group-private-equity--10546aaf,Scratch Music Group,https://www.crunchbase.com/organization/scratch-music-group,Private Equity,,"Jun 7, 2013",Private Equity,,Yes,2,
Venture Round - Scratch Music Group,https://www.crunchbase.com/funding_round/scratch-music-group-series-unknown--3d82f2fd,Scratch Music Group,https://www.crunchbase.com/organization/scratch-music-group,Venture - Series Unknown,,"May 31, 2013",,,Yes,2,
Series D - Videology,https://www.crunchbase.com/funding_round/videologygroup-series-d--16a64f76,Videology,https://www.crunchbase.com/organization/videologygroup,Series D,"$60,000,000","May 28, 2013",Late Stage Venture,,Yes,5,4
Series B - Eko,https://www.crunchbase.com/funding_round/interlude-series-b--0c12270d,Eko,https://www.crunchbase.com/organization/interlude,Series B,"$15,000,000","May 21, 2013",Early Stage Venture,,Yes,6,3
Series A - Turi,https://www.crunchbase.com/funding_round/graphlab-series-a--0b9e7602,Turi,https://www.crunchbase.com/organization/graphlab,Series A,"$6,750,000","May 14, 2013",Early Stage Venture,,Yes,2,2
Private Equity Round - Pure Energies Group,https://www.crunchbase.com/funding_round/pure-energies-group-private-equity--b3e80557,Pure Energies Group,https://www.crunchbase.com/organization/pure-energies-group,Private Equity,"$6,000,000","May 5, 2013",Private Equity,,Yes,2,1
Series B - WibiData,https://www.crunchbase.com/funding_round/wibidata-series-b--cffe4603,WibiData,https://www.crunchbase.com/organization/wibidata,Series B,"$18,000,000","May 1, 2013",Early Stage Venture,,Yes,4,2
Series B - Metromile,https://www.crunchbase.com/funding_round/metromile-series-b--c5ab7453,Metromile,https://www.crunchbase.com/organization/metromile,Series B,"$10,000,000","Apr 30, 2013",Early Stage Venture,,Yes,3,3
Series C - Topera,https://www.crunchbase.com/funding_round/topera-series-c--7c54aa57,Topera,https://www.crunchbase.com/organization/topera,Series C,"$25,000,000","Apr 25, 2013",Late Stage Venture,,Yes,1,
Venture Round - Tynker,https://www.crunchbase.com/funding_round/tynker-series-unknown--877b2f73,Tynker,https://www.crunchbase.com/organization/tynker,Venture - Series Unknown,"$3,250,000","Apr 11, 2013",,,Yes,8,2
Venture Round - Cydan,https://www.crunchbase.com/funding_round/cydan-series-unknown--2d70e94a,Cydan,https://www.crunchbase.com/organization/cydan,Venture - Series Unknown,"$16,000,000","Apr 11, 2013",,,Yes,3,1
Series A - Cleave Biosciences,https://www.crunchbase.com/funding_round/cleave-biosciences-series-a--beea82f9,Cleave Biosciences,https://www.crunchbase.com/organization/cleave-biosciences,Series A,"$10,000,000","Apr 9, 2013",Early Stage Venture,,Yes,1,2
Debt Financing - Traitify,https://www.crunchbase.com/funding_round/traitify-debt-financing--261d4ae0,Traitify,https://www.crunchbase.com/organization/traitify,Debt Financing,"$2,000,000","Apr 8, 2013",,,No,6,
Series B - Onshape,https://www.crunchbase.com/funding_round/onshape-inc--series-b--4a5c7f14,Onshape,https://www.crunchbase.com/organization/onshape-inc-,Series B,"$25,000,000","Apr 3, 2013",Early Stage Venture,,Yes,1,2
Series E - MuleSoft,https://www.crunchbase.com/funding_round/mulesoft-series-e--2b3ef1a3,MuleSoft,https://www.crunchbase.com/organization/mulesoft,Series E,"$37,000,000","Apr 3, 2013",Late Stage Venture,,Yes,7,6
"Venture Round - Centerbeam, Inc.",https://www.crunchbase.com/funding_round/centerbeam-inc-series-unknown--ca921ee4,"Centerbeam, Inc.",https://www.crunchbase.com/organization/centerbeam-inc,Venture - Series Unknown,"$1,000,000","Apr 1, 2013",,,Yes,2,
Venture Round - VytronUS,https://www.crunchbase.com/funding_round/vytronus-series-unknown--dfa1f1d7,VytronUS,https://www.crunchbase.com/organization/vytronus,Venture - Series Unknown,"$2,805,000","Mar 31, 2013",,,Yes,1,1
Series A - Omada Health,https://www.crunchbase.com/funding_round/omada-health-series-a--3b1fabe9,Omada Health,https://www.crunchbase.com/organization/omada-health,Series A,"$4,700,000","Mar 21, 2013",Early Stage Venture,,Yes,9,1
Series A - Bitglass,https://www.crunchbase.com/funding_round/bitglass-series-a--de3aae6d,Bitglass,https://www.crunchbase.com/organization/bitglass,Series A,"$10,020,000","Mar 8, 2013",Early Stage Venture,,Yes,2,2
Series C - Nevro,https://www.crunchbase.com/funding_round/nevro-series-c--130fbc74,Nevro,https://www.crunchbase.com/organization/nevro,Series C,"$48,000,000","Mar 7, 2013",Late Stage Venture,,Yes,9,6
Convertible Note - Zady,https://www.crunchbase.com/funding_round/zady-convertible-note--da066263,Zady,https://www.crunchbase.com/organization/zady,Convertible Note,"$1,350,000","Feb 28, 2013",,,No,1,
Series B - Euclid,https://www.crunchbase.com/funding_round/euclid-series-b--13d9cbdb,Euclid,https://www.crunchbase.com/organization/euclid,Series B,"$17,300,000","Feb 21, 2013",Early Stage Venture,,Yes,7,2
Seed Round - Wedding Party,https://www.crunchbase.com/funding_round/wedding-party-seed--8ac8dbdd,Wedding Party,https://www.crunchbase.com/organization/wedding-party,Seed,"$1,000,000","Feb 21, 2013",Seed,,Yes,2,
Series A - Stormpath,https://www.crunchbase.com/funding_round/stormpath-series-a--14303067,Stormpath,https://www.crunchbase.com/organization/stormpath,Series A,"$8,200,000","Feb 19, 2013",Early Stage Venture,,Yes,3,1
Series A - payleven,https://www.crunchbase.com/funding_round/payleven-series-a--31bd4597,payleven,https://www.crunchbase.com/organization/payleven,Series A,"€2,000,000","Feb 17, 2013",Early Stage Venture,,Yes,3,1
