Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Krux,https://www.crunchbase.com/organization/krux-digital,"Advertising, Data and Analytics, Media and Entertainment, Sales and Marketing","San Francisco, California, United States","Krux helps marketers, publishers and agencies drive revenue by delivering smarter content, commerce and marketing experiences.","2,052","Ad Targeting, Advertising Platforms, Analytics, Big Data, Brand Marketing, Digital Media",101-250,2,3,M&A,"Jun 11, 2014","$35,000,000",Series B,"$35,000,000",Series B,"$50,000,000","$50,000,000",Private,,,,,Was Acquired,Active,2010,,For Profit,,,1,8,,,,,http://www.krux.com,,,
"ForeScout Technologies, Inc.",https://www.crunchbase.com/organization/forescout,"Information Technology, Internet Services, Privacy and Security","San Jose, California, United States","ForeScout sees devices, including BOYD, IoT, the instant they connect to the network, controls them, and orchestrates system-wide response.","2,070","Cyber Security, Internet of Things, Network Security",501-1000,6,9,IPO,"Jan 21, 2016","$80,000,000",Series G,"$80,000,000",Series G,"$125,381,451","$125,381,451",Public,"Oct 26, 2017",,"$116,000,000","$800,000,000",,Active,Apr-00,,For Profit,,,7,12,,,,,http://www.forescout.com,,,
Jet,https://www.crunchbase.com/organization/jet,"Commerce and Shopping, Hardware, Software","Hoboken, New Jersey, United States",Jet.com is a shopping site dedicated to saving you more money.,"2,088","E-Commerce, Retail, Retail Technology, Software",1001-5000,3,5,M&A,"Nov 24, 2015","$350,000,000",Venture - Series Unknown,"$350,000,000",Venture - Series Unknown,"$565,000,000","$570,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,Jul-13,,For Profit,,,5,19,,,,,http://www.jet.com/,,,
ModCloth,https://www.crunchbase.com/organization/modcloth,"Clothing and Apparel, Commerce and Shopping, Design","San Francisco, California, United States","ModCloth is an online clothing, accessories, and decor retailer that aims to provide an engaging shopping atmosphere for the user.","2,092","Crowdsourcing, E-Commerce, Fashion, Retail",251-500,2,7,M&A,"Jun 25, 2015","$15,000,000",Series C,"$15,000,000",Series C,"$78,739,701","$78,739,701",Private,,,,,Was Acquired,Active,"Jul 18, 2002",,For Profit,,,3,9,,,,,http://www.modcloth.com,,,
RelateIQ,https://www.crunchbase.com/organization/relateiq,"Advertising, Sales and Marketing, Software","Palo Alto, California, United States","RelateIQ offers a relationship intelligence platform that allows teams to track, share and analyze professional relationships.","2,539","Advertising, Collaboration, Enterprise Software, Marketing",,2,4,M&A,"Mar 25, 2014","$40,000,000",Series C,"$40,000,000",Series C,"$69,000,000","$69,000,000",Private,,,,,Was Acquired,Active,2011,,For Profit,,,1,14,,,,,http://www.relateiq.com,,,
Braintree,https://www.crunchbase.com/organization/braintree-payment-solutions,"Financial Services, Lending and Investments, Payments, Software","Chicago, Illinois, United States",Braintree's payment platform provides all the tools online and mobile businesses need to accept payments.,"2,555","Billing, Bitcoin, Credit Cards, Payments",251-500,1,2,M&A,"Sep 17, 2012","$35,000,000",Series B,"$35,000,000",Series B,"$69,000,000","$69,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,Oct-07,,For Profit,,,2,4,,,,,http://www.braintreepayments.com,,,
Abe's Market,https://www.crunchbase.com/organization/abes-market,"Commerce and Shopping, Community and Lifestyle","Chicago, Illinois, United States",Abe‰Ûªs Market is an online marketplace that provides natural product entrepreneurs with a platform to showcase their products.,"2,562","E-Commerce, Marketplace, Social Entrepreneurship",Nov-50,2,5,M&A,"Feb 7, 2014","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$19,148,000","$19,148,000",Private,,,,,Was Acquired,Active,"Sep 1, 2009",,For Profit,,,2,11,,,,,http://www.abesmarket.com,,,
Dropcam,https://www.crunchbase.com/organization/dropcam,"Consumer Electronics, Hardware, Software","San Francisco, California, United States",DropcamåÊdevelops a Wi-Fi camera with easy setupåÊand continuous cloud recording.,"2,586","Consumer Electronics, Hardware, SaaS",51-100,2,4,M&A,"Jul 31, 2013","$30,000,000",Series C,"$30,000,000",Series C,"$47,800,000","$47,800,000",Private,,,,,Was Acquired,Active,2009,,For Profit,,,3,14,,,,,http://www.dropcam.com,,,
SwiftKey,https://www.crunchbase.com/organization/touchtype,"Artificial Intelligence, Data and Analytics, Mobile, Platforms, Science and Engineering, Software","London, England, United Kingdom",SwiftKey is a technology company that aims to enhance interaction between keyboards and people.,"2,769","Android, Artificial Intelligence, iOS, Mobile, Software",101-250,2,4,M&A,"Sep 4, 2013","$17,500,000",Series B,"$17,500,000",Series B,"$21,591,224","$21,591,224",Private,,,,,Was Acquired,Active,"Aug 1, 2008",,For Profit,,,2,10,,,,,http://swiftkey.com/,,,
Diligent,https://www.crunchbase.com/organization/diligent-board-member-services,"Hardware, Information Technology, Mobile, Platforms, Privacy and Security, Software","New York, New York, United States",1/3 of US public companies use Diligent's secure executive collaboration software to run board and executive team meetings.,"2,916","Collaboration, Data Center, Information Technology, iOS, Mobile, SaaS, Security",251-500,1,4,M&A,"Feb 9, 2018",,Corporate Round,"$3,000,000",Venture - Series Unknown,"$25,000,000","$30,000,000",Delisted,"Dec 21, 2007","Apr 11, 2016",,,"Made Acquisitions, Was Acquired",Active,1994,,For Profit,,,3,5,,,,,http://diligent.com,,,
Imperva,https://www.crunchbase.com/organization/imperva,"Information Technology, Privacy and Security, Software","Redwood Shores, California, United States","Imperva provides activity monitoring, real-time protection and risk management solutions for critical business data and applications.","3,043","Cloud Security, Network Security, Security, Software",1001-5000,2,4,IPO,"Jun 23, 2016",,Private Equity,,Private Equity,"$49,000,000","$49,000,000",Public,"Nov 9, 2011",,"$90,000,000","$397,830,510",Made Acquisitions,Active,2002,,For Profit,,,1,6,,,,,http://www.imperva.com,,,
Myntra,https://www.crunchbase.com/organization/myntra,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services","Bangalore, Karnataka, India","Myntra is an Indian e-commerce site for buying branded footwear, apparels and accessories for men and women.","3,063","E-Commerce, Fashion, Internet, Shopping",1001-5000,3,10,M&A,"Oct 18, 2017","‰â_500,000,000",Debt Financing,"$50,000,000",Venture - Series Unknown,"$158,750,000","$166,436,383",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Jan 1, 2007",,,,,4,9,,,,,http://www.myntra.com,,,
MyFitnessPal,https://www.crunchbase.com/organization/myfitnesspal,"Apps, Health Care, Software, Sports","Baltimore, Maryland, United States","MyFitnessPal offers a mobile app and website for people to track, learn, communicate and improve their health and wellness.","3,187","Apps, Fitness, Health Care, Personal Health",51-100,2,1,M&A,"Aug 13, 2013","$18,000,000",Series A,"$18,000,000",Series A,"$18,000,000","$18,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,2005,,For Profit,,,1,3,,,,,http://myfitnesspal.com,,,
Quidsi,https://www.crunchbase.com/organization/quidsi,"Commerce and Shopping, Consumer Goods, Health Care","Jersey City, New Jersey, United States","Quidsi is an e-commerce platform selling baby-care, household, and beauty products.","3,229","Beauty, Child Care, E-Commerce",251-500,2,6,M&A,"Apr 20, 2010","$20,000,000",Debt Financing,"$30,000,000",Series E,"$58,500,000","$78,500,000",Private,,,,,Was Acquired,Active,2005,,,,,,8,,,,,http://www.quidsi.com,,,
Plex Systems,https://www.crunchbase.com/organization/plex-systems,"Internet Services, Manufacturing, Software","Troy, Michigan, United States",The Plex Manufacturing Cloud ushers in a new era of ERP with a complete system designed to power today‰Ûªs modern manufacturer.,"3,432","Cloud Computing, ERP, Manufacturing",251-500,1,4,M&A,"Jun 10, 2014","$50,000,000",Venture - Series Unknown,"$50,000,000",Venture - Series Unknown,"$86,500,000","$86,500,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,1995,,,,,3,3,,,,,http://www.plex.com,,,
Showroomprive,https://www.crunchbase.com/organization/showroomprive,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Internet Services","Paris, Ile-de-France, France","Showroomprive operates as an online shopping website for clothing, cosmetics, and household products.","3,761","E-Commerce, Fashion, Internet, Lifestyle, Shopping",501-1000,2,2,IPO,"Jan 11, 2018","‰âÂ79,000,000",Post-IPO Equity,"‰âÂ79,000,000",Post-IPO Equity,"‰âÂ116,000,000","‰âÂ116,000,000",Public,"Nov 3, 2015",,"‰âÂ256,000,000","‰âÂ735,000,000",,Active,2006,,,,,2,2,,,,,http://Showroomprive.com,,,
Floored,https://www.crunchbase.com/organization/floored,"Hardware, Real Estate, Software","New York, New York, United States",Floored develops software that turns 3D spatial data into clean interactive virtual worlds that can be explored through the web.,"3,770","3D Technology, Enterprise Software, Hardware, Real Estate, Software",Nov-50,3,2,M&A,"Dec 19, 2013","$5,260,000",Series A,"$5,260,000",Series A,"$6,360,000","$6,360,000",Private,,,,,Was Acquired,Active,"Jul 1, 2012",,,,,2,10,,,,,http://www.floored.com,,,
AirWatch,https://www.crunchbase.com/organization/airwatch,"Consumer Electronics, Hardware, Mobile, Privacy and Security","Atlanta, Georgia, United States","AirWatch engages in enterprise-grade mobile device, application, and content management designed to simplify mobility.","3,946","Computer, Enterprise, Mobile, Mobile Devices, Security",1001-5000,1,2,M&A,"May 16, 2013","$25,000,000",Series A,"$25,000,000",Series A,"$225,000,000","$225,000,000",Private,,,,,Was Acquired,Active,2003,,,,,2,2,,,,,http://www.air-watch.com,,,
