Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Categories,Number of Employees,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Acquisition Status,Operating Status,Founded Date,Closed Date,Company Type,Investor Type,Investment Stage,Number of Lead Investors,Number of Investors,Number of Investments,Number of Lead Investments,Number of Exits,Number of Portfolio Organizations,Website,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
iPass,https://www.crunchbase.com/organization/ipass,"Information Technology, Mobile, Software","Redwood Shores, California, United States",Leading provider of global mobile connectivity,"67,038","Enterprise Software, Information Technology, Mobile",251-500,,5,IPO,"Dec 12, 2000",,Venture - Series Unknown,,Venture - Series Unknown,"$51,000,000","$51,000,000",Public,"Aug 1, 2003",,"$98,000,000","$821,942,450",Made Acquisitions,Active,1996,,For Profit,,,,11,,,,,http://ipass.com,,,
Sansa Security,https://www.crunchbase.com/organization/sansa-security,"Information Technology, Internet Services, Privacy and Security","Kefar Netter, HaMerkaz, Israel",Sansa Security is the only comprehensive Internet of Things (IoT) security platform securing everything from chipsets to the cloud.,"71,587","Internet of Things, Network Security, Security",,2,2,M&A,"Jan 10, 2007","$20,000,000",Series C,"$20,000,000",Series C,"$29,500,000","$29,500,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,2,8,,,,,http://www.sansasecurity.com,,,
Lightbit,https://www.crunchbase.com/organization/lightbit,,"Mountain View, California, United States",Lightbit is a telecom equipment provider using a unique all-optical processor chip from Stanford.,"71,874",,51-100,1,1,M&A,"Oct 14, 2000","$4,000,000",Venture - Series Unknown,"$4,000,000",Venture - Series Unknown,"$4,000,000","$4,000,000",Private,,,,,Was Acquired,Active,Jan-00,,For Profit,,,,2,,,,,http://www.lightbitslabs.com,,,
Medio,https://www.crunchbase.com/organization/medio,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Internet Services, Mobile, Science and Engineering, Software","Seattle, Washington, United States","Medio enables businesses to acquire, retain, and monetize their mobile customers.","74,790","Analytics, Artificial Intelligence, Cloud Data Services, Machine Learning, Mobile, Retail Technology, Telecommunications",51-100,3,2,M&A,"Nov 16, 2006","$30,000,000",Series B,"$30,000,000",Series B,"$41,000,000","$41,000,000",Private,,,,,Was Acquired,Active,"Sep 1, 2004",,For Profit,,,1,4,,,,,http://www.medio.com,,,
XenSource,https://www.crunchbase.com/organization/xensource,"Hardware, Information Technology, Software","Palo Alto, California, United States","XenSource manages cloud, server and desktop virtual infrastructures to optimize datacenters and automate management processes.","76,498","Data Center, Infrastructure, Software, Virtualization",5001-10000,4,3,M&A,"Oct 31, 2006","$15,000,000",Series C,"$15,000,000",Series C,"$38,000,000","$38,000,000",Private,,,,,Was Acquired,Active,2004,,,,,2,6,,,,,http://www.xensource.com/,,,
Offermatica,https://www.crunchbase.com/organization/offermatica,Software,"San Francisco, California, United States",Offermatica Corporation develops and markets software for website content testing and performance optimization.,"77,281",Software,,,1,M&A,"Sep 20, 2005","$7,000,000",Series A,"$7,000,000",Series A,"$7,000,000","$7,000,000",Private,,,,,Was Acquired,Active,1996,,For Profit,,,2,3,,,,,http://www.offermatica.com,,,
Netvibes,https://www.crunchbase.com/organization/netvibes,"Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing","San Francisco, California, United States","Netvibes provides Dashboard Intelligence: 3As: Aggregation, Analytics and Automation to help faster and more reliable Decision-Making","79,552","Business Intelligence, Digital Media, Publishing, Social Media, Social Media Marketing",Nov-50,1,2,M&A,"Aug 1, 2006","$15,000,000",Series A,"$15,000,000",Series A,"$16,000,000","$16,000,000",Private,,,,,Was Acquired,Active,"Sep 1, 2005",,,,,1,6,,,,,http://www.netvibesbusiness.com,,,
KDS,https://www.crunchbase.com/organization/kds,"Software, Travel and Tourism","Issy-les-moulineaux, Ile-de-France, France",Travel & expense mangement system,"81,299","Software, Tourism, Travel",51-100,1,1,M&A,"Oct 11, 2005","$13,330,000",Series A,"$13,330,000",Series A,"$13,330,000","$13,330,000",Private,,,,,Was Acquired,Active,1994,,,,,2,2,,,,,http://www.kds.com,,,
PeopleSupport,https://www.crunchbase.com/organization/peoplesupport,"Hardware, Professional Services","Los Angeles, California, United States","PeopleSupport an offshore business process outsourcing (BPO) company, provides customer management, transcription.","83,544","Outsourcing, Service Industry, Telecommunications",Nov-50,4,4,M&A,"Nov 9, 2006","$84,000,000",Post-IPO Equity,"$84,000,000",Post-IPO Equity,"$158,000,000","$158,000,000",Public,"Oct 1, 2004",,"$47,700,000",,Was Acquired,Active,1998,,,,,3,17,,,,,http://www.peoplesupport.com,,,
Dapper,https://www.crunchbase.com/organization/dapper,"Advertising, Media and Entertainment, Music and Audio, Sales and Marketing, Software","San Francisco, California, United States",The Dapper Company provides construction material and supplies for residential and commercial builders.,"83,874","Advertising, Developer Tools, Music",Nov-50,2,2,M&A,"Dec 1, 2007","$3,000,000",Series A,"$3,000,000",Series A,"$4,000,000","$4,000,000",Private,,,,,Was Acquired,Active,"Oct 1, 2006",,,,,1,2,,,,,http://dapper.net,,,
AdECN,https://www.crunchbase.com/organization/adecn,"Advertising, Sales and Marketing, Software","Carpinteria, California, United States","AdECN is an automated, real-time, auction-based, neutral exchange for buying and selling online display advertising.","88,896","Advertising, Real Time, Software",51-100,2,2,M&A,"Feb 1, 2006","$3,100,000",Series A,"$3,100,000",Series A,"$3,210,000","$3,210,000",Private,,,,,Was Acquired,Active,2003,,For Profit,,,,5,,,,,http://www.adecn.com,,,
Maven Networks,https://www.crunchbase.com/organization/maven-networks,"Internet Services, Media and Entertainment, Video","Cambridge, Massachusetts, United States","Maven Networks is an online video platform provider with end-to-end video syndication, content management and advertising solutions.","89,553","Content, Online Portals, Video",51-100,,3,M&A,"Aug 7, 2006","$12,000,000",Series C,"$12,000,000",Series C,"$24,000,000","$24,000,000",Private,,,,,Was Acquired,Active,2002,,For Profit,,,2,3,,,,,http://www.maven.net,,,
JBoss,https://www.crunchbase.com/organization/jboss,Software,"Raleigh, North Carolina, United States",JBoss is an American company specialized in writing and supporting open-source software.,"91,189","Developer Tools, Software",51-100,1,1,M&A,"Feb 20, 2004","$10,000,000",Series A,"$10,000,000",Series A,"$10,000,000","$10,000,000",Private,,,,,Was Acquired,Active,1993,,For Profit,,,1,3,,,,,http://www.jboss.org,,,
Aceva Technologies,https://www.crunchbase.com/organization/aceva-technologies,"Apps, Data and Analytics, Software","San Mateo, California, United States",Aceva Technologies offers a suite of enterprise application software solutions for revenue and receivables management.,"93,105","Analytics, Enterprise Applications, Enterprise Software",251-500,,3,M&A,"Jul 21, 2005","$5,280,000",Series D,"$5,280,000",Series D,"$55,580,000","$55,580,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,,8,,,,,http://www.aceva.com,,,
Wily Technology,https://www.crunchbase.com/organization/wily-technology,"Commerce and Shopping, Health Care, Transportation","Brisbane, California, United States",application management solutions,"94,100","Health Care, Logistics, Retail",,1,4,M&A,"Feb 4, 2003","$15,000,000",Series C,"$15,000,000",Series C,"$37,550,000","$37,550,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,1,6,,,,,http://www.wilytech.com,,,
Trapeze Networks,https://www.crunchbase.com/organization/trapeze-networks,"Hardware, Mobile, Privacy and Security","Sunnyvale, California, United States","Trapeze networks offers wireless LAN solutions for use in mobile applications, including data, voice, video and real-time location services.","95,139","Real Time, Security, Wireless",10001+,,4,M&A,"Aug 28, 2006","$30,000,000",Series D,"$30,000,000",Series D,"$91,120,000","$91,120,000",Private,,,,,Was Acquired,Active,2002,,For Profit,,,1,7,,,,,http://www.trapezenetworks.com,,,
Summify,https://www.crunchbase.com/organization/summify,"Content and Publishing, Media and Entertainment","Vancouver, British Columbia, Canada","Summify creates a daily summary of the most relevant news fromåÊthe user'såÊsocial networks and delivers it by email, web or mobile.","95,268",News,1-Oct,3,3,M&A,"Mar 30, 2011",,Angel,,Angel,,,Private,,,,,Was Acquired,Active,"Nov 1, 2009",,,,,,10,,,,,http://summify.com,,,
Amber Networks,https://www.crunchbase.com/organization/amber-networks,"Hardware, Sales and Marketing","Fremont, California, United States",Amber Networks develops telecommunications equipment for service provider‰Ûªs IP and optical networks.,"95,627","Optical Communication, Public Relations, Telecommunications",101-250,1,2,M&A,"Jul 10, 2000","$91,000,000",Series C,"$91,000,000",Series C,"$108,000,000","$108,000,000",Private,,,,,Was Acquired,Active,"Oct 1, 1998",,For Profit,,,1,11,,,,,http://www.ambernetworks.com,,,
Found.com,https://www.crunchbase.com/organization/found-com,"Commerce and Shopping, Internet Services","Atlanta, Georgia, United States","Found, Inc. is establishing a unique new retail paradigm that seamlessly integrates the offline and online marketplaces","95,953","Internet, Marketplace, Retail",501-1000,,1,M&A,"Apr 18, 2000","$36,000,000",Venture - Series Unknown,"$36,000,000",Venture - Series Unknown,"$36,000,000","$36,000,000",Private,,,,,Was Acquired,Active,1972,,,,,,9,,,,,http://www.found.com,,,
SuperDerivatives,https://www.crunchbase.com/organization/superderivatives,"Data and Analytics, Financial Services, Information Technology, Internet Services","Tel Aviv, Tel Aviv, Israel",The global derivatives benchmark pricing systems.,"96,673","Analytics, Finance, FinTech, Information Services, Internet, Risk Management",501-1000,,2,M&A,"Jan 1, 2008","$20,000,000",Debt Financing,,Venture - Series Unknown,,"$20,000,000",Private,,,,,Was Acquired,Active,2000,,,,,,2,,,,,http://www.superderivatives.com,,,
Andale,https://www.crunchbase.com/organization/andale,"Commerce and Shopping, Data and Analytics","San Mateo, California, United States","As of November 15, 2006, Andale, Inc. was acquired by Vendio Services, Inc. Andale, Inc. provides auction management, and research and","97,547","Analytics, Auctions, Online Auctions",51-100,2,2,M&A,"Nov 27, 2006","$64,000,000",Venture - Series Unknown,"$64,000,000",Venture - Series Unknown,"$105,000,000","$105,000,000",Private,,,,,Was Acquired,Active,1999,,,,,1,6,,,,,http://www.andale.com,,,
2Wire,https://www.crunchbase.com/organization/2wire,"Hardware, Internet Services","San Jose, California, United States","2Wire is a San Jose, Calif. provider of broadband service products for companies serving consumers.","98,540","Communications Infrastructure, Internet, Telecommunications",1001-5000,1,6,M&A,"Dec 2, 2005",,Undisclosed,,Undisclosed,"$162,000,000","$162,000,000",Private,,,,,"Made Acquisitions, Was Acquired",Active,"Jul 1, 1998",,For Profit,,,3,14,,,,,http://www.2wire.com,,,
Rapt,https://www.crunchbase.com/organization/rapt,"Media and Entertainment, Software","San Francisco, California, United States","Rapt offers media monetization solutions, technology, and strategic advisory services for media companies.","101,643","Advice, Enterprise Software, Service Industry",51-100,3,4,M&A,"Nov 3, 2013",,Seed,,Seed,"$23,620,000","$23,620,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,2,5,,,,,http://rapt.com,,,
Omneon,https://www.crunchbase.com/organization/omneon,"Media and Entertainment, Video","Sunnyvale, California, United States","Omneon Video Networks, Inc. provides digital content storage and processing systems for media companies to enable production and","102,362","Content, Content Creators, Digital Media, Video",1001-5000,,5,M&A,"Apr 16, 2004","$10,500,000",Venture - Series Unknown,"$10,500,000",Venture - Series Unknown,"$67,200,000","$67,200,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,1,12,,,,,http://www.omneon.com,,,
Gigle Networks,https://www.crunchbase.com/organization/gigle-semiconductor,"Hardware, Mobile, Science and Engineering","Barcelona, Catalonia, Spain",Gigle Semiconductor develops system-on-chip integrated circuits for home networking applications.,"105,313","Semiconductor, Telecommunications, Wireless",51-100,1,2,M&A,"Nov 28, 2007","$20,000,000",Series B,"$20,000,000",Series B,"$31,000,000","$31,000,000",Private,,,,,Was Acquired,Active,2005,,For Profit,,,1,3,,,,,http://www.giglenetworks.com,,,
Groove Networks,https://www.crunchbase.com/organization/groove-networks,Software,"Beverly, Massachusetts, United States",Groove networks provided a virtual office through software that allowed teams of people to work together over a network.,"109,661","Collaboration, File Sharing, Software",10001+,1,4,M&A,"Mar 6, 2003","$38,000,000",Series F,"$38,000,000",Series F,"$133,378,000","$133,378,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,2,3,,,,,http://secure.groove.net,,,
Hyperic,https://www.crunchbase.com/organization/hyperic,"Apps, Information Technology, Internet Services, Software","Palo Alto, California, United States",Hyperic provides systems and server monitoring and IT management software for web applications on the cloud or on-premise.,"113,427","Cloud Management, Software, Web Apps",Nov-50,1,2,M&A,"Jun 5, 2007","$6,100,000",Series B,"$6,100,000",Series B,"$9,900,000","$9,900,000",Private,,,,,Was Acquired,Active,2004,,,,,1,2,,,,,http://www.hyperic.com,,,
Versly,https://www.crunchbase.com/organization/versly,"Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Real Estate, Software","San Francisco, California, United States","Versly integrates Microsoft Office applications and links content in documents, spreadsheets, presentations and email.","114,533","Collaboration, Commercial Real Estate, Content, Email, Presentations, Software",1-Oct,2,1,M&A,"Jul 1, 2010",,Seed,,Seed,,,Private,,,,,Was Acquired,Active,2009,,For Profit,,,,7,,,,,http://www.versly.com,,,
Tellium,https://www.crunchbase.com/organization/tellium,"Hardware, Internet Services, Manufacturing","Oceanport, New Jersey, United States",Tellium designs and manufactures networking products that create intelligent optical networks.,"116,423","Hardware, Internet, Manufacturing, Telecommunications",501-1000,,2,M&A,"Jan 5, 2000","$50,000,000",Venture - Series Unknown,"$50,000,000",Venture - Series Unknown,"$50,000,000","$50,000,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,2,8,,,,,http://www.tellium.com,,,
Atrica,https://www.crunchbase.com/organization/atrica,Hardware,"Santa Clara, California, United States",Atrica provides carrier Ethernet solutions for metropolitan area networks (MAN).,"117,743","Network Hardware, Telecommunications",101-250,,7,M&A,"Apr 5, 2006","$22,200,000",Series F,"$22,200,000",Series F,"$175,200,000","$175,200,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,1,20,,,,,http://www.atrica.com,,,
Inspiris,https://www.crunchbase.com/organization/inspiris,Health Care,"Brentwood, Tennessee, United States",UnitedHealthcare Community Plan can help you find a Medicaid or Medicare plan that best fits your needs.,"118,726",Health Care,,,1,M&A,"Mar 19, 2004","$8,020,000",Series D,"$8,020,000",Series D,"$8,020,000","$8,020,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,1,6,,,,,http://www.inspiris.com,,,
Level 5 Networks,https://www.crunchbase.com/organization/level-5-networks,"Hardware, Manufacturing, Science and Engineering, Software","Sunnyvale, California, United States","Level 5 Networks operates as a fabless semiconductor and software company, providing Ethernet network interface cards.","122,819","Enterprise Software, Manufacturing, Semiconductor",1-Oct,,2,M&A,"Jun 20, 2005","$30,000,000",Series B,"$30,000,000",Series B,"$38,812,000","$38,812,000",Private,,,,,Was Acquired,Active,2002,,,,,1,4,,,,,http://www.level5networks.com,,,
Reactivity,https://www.crunchbase.com/organization/reactivity,"Information Technology, Software","Belmont, California, United States","Reactivity provides technology to secure, accelerate, and manage XML and Web service environments in the enterprises.","122,934","Enterprise Software, Information Services, Information Technology",,2,1,M&A,"Feb 13, 2006","$8,550,000",Venture - Series Unknown,"$8,550,000",Venture - Series Unknown,"$8,550,000","$8,550,000",Private,,,,,Was Acquired,Active,1998,,,,,,3,,,,,http://www.reactivity.com/,,,
Entrisphere,https://www.crunchbase.com/organization/entrisphere,"Hardware, Internet Services","Santa Clara, California, United States",Entrisphere supplies access network equipment for the broadband service providers.,"124,857","Internet, Telecommunications, Web Hosting",,2,2,M&A,"May 9, 2005","$75,000,000",Series C,"$75,000,000",Series C,"$108,000,000","$108,000,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,1,10,,,,,http://www.entrisphere.com,,,
Airgo Networks,https://www.crunchbase.com/organization/airgo,"Hardware, Mobile, Software","Palo Alto, California, United States",Airgo Networks is a California-based company specializing in the development of multiple-input multiple-output wireless technology.,"125,989","Network Hardware, Software, Wireless",,1,6,M&A,"Apr 1, 2005","$35,000,000",Series E,"$35,000,000",Series E,"$112,000,000","$112,000,000",Private,,,,,Was Acquired,Closed,"May 1, 2000",,For Profit,,,4,4,,,,,,,,
AlphaBlox,https://www.crunchbase.com/organization/alphablox,"Data and Analytics, Internet Services, Software","Mountain View, California, United States",AlphaBlox provides the only open Web-based platform for eBusiness analysis applications that enable companies to analyze.,"127,669","Analytics, Business Intelligence, Software, Web Hosting",10001+,1,2,M&A,"Sep 21, 2000","$33,000,000",Venture - Series Unknown,"$33,000,000",Venture - Series Unknown,"$67,000,000","$67,000,000",Private,,,,,Was Acquired,Active,1996,,For Profit,,,2,10,,,,,http://www.alphablox.com,,,
Counterpane Internet Security,https://www.crunchbase.com/organization/counterpane-internet-security-inc-a-division-of-british-telecom-bt-global-services,"Privacy and Security, Software","Mountain View, California, United States",Counterpane Internet Security are develops security monitoring software.,"130,593","Enterprise Software, Risk Management, Security",10001+,,3,M&A,"Jan 14, 2003","$20,000,000",Series D,"$20,000,000",Series D,"$71,000,000","$71,000,000",Private,,,,,Was Acquired,Active,2024,,For Profit,,,2,12,,,,,http://www.counterpane.com,,,
iPIN,https://www.crunchbase.com/organization/ipin,"Commerce and Shopping, Financial Services, Hardware, Mobile, Payments, Software","Belmont, California, United States",IPin develops a range of wireless and mobile commerce payment software solutions.,"131,201","E-Commerce, Mobile, Mobile Payments, Wireless",51-100,2,2,M&A,"Nov 18, 2002","$8,000,000",Series C,"$8,000,000",Series C,"$31,000,000","$31,000,000",Private,,,,,Was Acquired,Closed,1997,,For Profit,,,3,7,,,,,http://www.ipin.com,,,
Authentica,https://www.crunchbase.com/organization/authentica,"Information Technology, Media and Entertainment, Privacy and Security","Lexington, Massachusetts, United States",Authentica provides content security software for protecting and controlling business information in companies.,"137,054","Business Information Systems, Content, Cyber Security",10001+,1,4,M&A,"Feb 10, 2004","$8,000,000",Series C,"$8,000,000",Series C,"$45,300,000","$45,300,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,4,13,,,,,http://www.authentica.com,,,
ArrowPoint Communications,https://www.crunchbase.com/organization/arrowpoint-communications,"Hardware, Software","Acton, Massachusetts, United States","ArrowPoint Communications, Inc. provides intelligent Web switches.","138,083","Communications Infrastructure, Enterprise Software, Hardware",501-1000,,2,M&A,"Mar 1, 1998","$10,300,000",Series B,"$10,300,000",Series B,"$15,800,000","$15,800,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,,3,,,,,http://www.arrowpoint.com,,,
Carmine,https://www.crunchbase.com/organization/carmine,Consumer Goods,"London, England, United Kingdom",Beauty Product Discovery Service,"138,575","Beauty, Cosmetics, Subscription Service",Nov-50,1,1,M&A,"Oct 14, 2011",,Venture - Series Unknown,,Venture - Series Unknown,,,Private,,,,,Was Acquired,Active,"May 1, 2011",,,,,,1,,,,,http://www.carmine.co.uk,,,
New Edge Networks,https://www.crunchbase.com/organization/new-edge-networks,"Hardware, Internet Services, Mobile","Vancouver, Washington, United States",New Edge Networks is a single-source national provider of secure multi-site managed data networks and dedicated Internet access.,"138,976","Internet, Telecommunications, Wireless",1-Oct,,5,M&A,"Apr 23, 2001","$77,500,000",Private Equity,"$77,500,000",Private Equity,"$232,100,000","$295,100,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,1,7,,,,,http://www.newedgenetworks.com/,,,
Artimi,https://www.crunchbase.com/organization/artimi,"Consumer Electronics, Hardware, Mobile, Science and Engineering","Mountain View, California, United States",Artimi offers silicon solutions for high bandwidth wireless connectivity based on ultra wideband technologies.,"139,409","Consumer Electronics, Semiconductor, Wireless",,,3,M&A,"Mar 21, 2007","$31,500,000",Series B,"$31,500,000",Series B,"$72,000,000","$72,000,000",Private,,,,,Was Acquired,Active,2002,,,,,4,7,,,,,http://www.artimi.com,,,
Sylantro,https://www.crunchbase.com/organization/sylantro,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Campbell, California, United States",Sylantro Systems provides software for service providers that deliver hosted VoIP applications.,"139,526","Software, Telecommunications, VoIP",51-100,,6,M&A,"Apr 1, 2006","$11,000,000",Series E,"$11,000,000",Series E,"$101,000,000","$101,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,2,18,,,,,http://www.sylantro.com,,,
ItemField,https://www.crunchbase.com/organization/itemfield-2,"Media and Entertainment, Software","New York, New York, United States","ItemField is a provider of real-time, bi-directional, XML based data transformation software.","142,391","Content, Enterprise Software, Real Time",,,2,M&A,"May 23, 2004","$13,500,000",Series B,"$13,500,000",Series B,"$17,500,000","$17,500,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,1,6,,,,,http://www.itemfield.com/,,,
Transitive,https://www.crunchbase.com/organization/transitive,"Hardware, Information Technology, Platforms, Software","Los Gatos, California, United States",Transitive provides cross-platform virtualization and is a pioneer in developing technologies that allow applications compiled for one CPU,"142,848","Operating Systems, Software, Virtualization",51-100,,3,M&A,"Dec 14, 2006",,Series D,,Series D,"$21,500,000","$21,500,000",Private,,,,,Was Acquired,Active,2000,,,,,4,4,,,,,http://www.transitive.com,,,
Surfkitchen,https://www.crunchbase.com/organization/surfkitchen,"Content and Publishing, Mobile, Software","Reading, Reading, United Kingdom",SurfKitchen is a mobile software company that provides On Device Portal (ODP) software toåÊdiscover and accessåÊmobile content easily.,"145,867","Content Delivery Network, Mobile, Software",Nov-50,2,2,M&A,"Jul 30, 2004","$17,500,000",Series C,"$17,500,000",Series C,"$34,929,405","$34,929,405",Private,,,,,Was Acquired,Active,1999,,,,,2,3,,,,,http://www.surfkitchen.com,,,
Acopia Networks,https://www.crunchbase.com/organization/acopia-networks,"Hardware, Information Technology, Software","Lowell, Massachusetts, United States",Acopia Networks provides intelligent file virtualization solutions for enterprises.,"148,555","Data Storage, Enterprise Software, Virtualization",,,5,M&A,"Jun 19, 2006","$20,000,000",Series D,"$20,000,000",Series D,"$96,360,000","$96,360,000",Private,,,,,Was Acquired,Active,2002,,,,,4,7,,,,,,,,
Azea Networks,https://www.crunchbase.com/organization/azea-networks,"Hardware, Mobile","London, England, United Kingdom","Azea Networks Limited, provides world-class submarine optical networking solutions Azea Networks provides world-class submarine optical","150,753","Telecommunications, Wireless",,,2,M&A,"Mar 21, 2007","$6,000,000",Series D,"$6,000,000",Series D,"$14,000,000","$14,000,000",Private,,,,,Was Acquired,Active,2003,,For Profit,,,2,4,,,,,http://www.azea.net,,,
Volantis Systems,https://www.crunchbase.com/organization/volantis,Software,"Guildford, Surrey, United Kingdom",Volantis Systems provides intelligent content adaptation solutions for the mobile internet market.,"151,971",Software,,1,2,M&A,"Sep 13, 2005","$7,500,000",Venture - Series Unknown,"$7,500,000",Venture - Series Unknown,"$7,500,000","$7,500,000",Private,,,,,Was Acquired,Active,2000,,,,,2,2,,,,,http://www.volantis.com,,,
Rhapsody Networks,https://www.crunchbase.com/organization/rhapsody-networks,"Hardware, Information Technology, Software","Fremont, California, United States",A provider of storage networking products for enterprises,"156,810","Data Storage, Enterprise, Enterprise Software, Information Services, Information Technology",,1,2,M&A,"Sep 5, 2001","$50,000,000",Series B,"$50,000,000",Series B,"$62,000,000","$62,000,000",Private,,,,,Was Acquired,Active,2000,,For Profit,,,1,3,,,,,http://www.rhapsodynetworks.com,,,
Cape Clear Software,https://www.crunchbase.com/organization/cape-clear-software,"Internet Services, Real Estate, Software","San Mateo, California, United States",Cape Clear Software provides services-oriented architecture (SOA) and enterprise service bus (ESB) technology.,"159,116","Architecture, Enterprise Software, Web Hosting",,,5,M&A,"May 10, 2007","$4,950,000",Series E,"$4,950,000",Series E,"$46,190,000","$46,190,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,2,4,,,,,,,,
Schoolpop,https://www.crunchbase.com/organization/schoolpop,"Financial Services, Internet Services","Menlo Park, California, United States","Schoolpop, an online fundraiser for K-12 schools.","164,030","Finance, Internet",,,1,M&A,"Mar 8, 2000","$41,000,000",Venture - Series Unknown,"$41,000,000",Venture - Series Unknown,"$41,000,000","$41,000,000",Private,,,,,Was Acquired,Active,1999,,For Profit,,,2,6,,,,,http://www.schoolpop.com,,,
Peribit Networks,https://www.crunchbase.com/organization/peribit-networks,"Financial Services, Hardware, Lending and Investments, Software","Santa Clara, California, United States",Peribit Networks offers a range of WAN optimization solutions.,"166,983","Network Hardware, Software, Stock Exchanges",5001-10000,,2,M&A,"Oct 20, 2003","$10,040,000",Series D,"$10,040,000",Series D,"$30,540,000","$30,540,000",Private,,,,,Was Acquired,Closed,2000,,For Profit,,,2,4,,,,,http://www.peribit.com,,,
Primarion,https://www.crunchbase.com/organization/primarion,Manufacturing,"Torrance, California, United States","Primarion is a mixed signal integrated circuit (IC) company that designs, manufactures and markets digital power ICs to address inflection","170,605",Manufacturing,10001+,,5,M&A,"Jan 12, 2006","$10,000,000",Series E,"$10,000,000",Series E,"$130,000,000","$130,000,000",Private,,,,,Was Acquired,Active,1999,,,,,5,8,,,,,http://www.primarion.com,,,
Trellix,https://www.crunchbase.com/organization/trellix,"Information Technology, Software","Concord, Massachusetts, United States",Trellix is a software and services provider for easy-to-create Web sites for consumers and small businesses.,"171,230","Information Technology, Software, Web Development",1001-5000,,1,M&A,"Apr 4, 2000","$35,000,000",Venture - Series Unknown,"$35,000,000",Venture - Series Unknown,"$35,000,000","$35,000,000",Private,,,,,Was Acquired,Active,1999,,,,,1,8,,,,,http://www.trellix.com/,,,
Ceon,https://www.crunchbase.com/organization/ceon,"Information Technology, Software","Redwood City, California, United States",Ceon offers product management and fulfillment software solutions such as product control centers and intelligent order managers.,"171,334","Information Technology, Product Management, Software",1-Oct,,3,M&A,"Sep 1, 2005","$5,040,000",Venture - Series Unknown,"$5,040,000",Venture - Series Unknown,"$60,040,000","$60,040,000",Private,,,,,Was Acquired,Active,1982,,,,,,8,,,,,http://www.ceon.com,,,
FastForward Networks,https://www.crunchbase.com/organization/fastforward-networks,"Internet Services, Media and Entertainment, Video","San Francisco, California, United States","FastForward Networks, a developer of Internet broadcasting technology.","174,325","Broadcasting, Internet, ISP",,2,1,M&A,"Apr 18, 2000","$30,000,000",Venture - Series Unknown,"$30,000,000",Venture - Series Unknown,"$30,000,000","$30,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,1,8,,,,,http://www.ffnet.com,,,
AccessLan Communications,https://www.crunchbase.com/organization/accesslan-communications,"Hardware, Internet Services","San Jose, California, United States",Develops carrier-class multiprotocol provisioning equipment designed for large-scale access networks.,"174,684","Communications Infrastructure, Internet, Web Hosting",,,2,M&A,"Aug 28, 2001","$16,000,000",Venture - Series Unknown,"$16,000,000",Venture - Series Unknown,"$51,000,000","$51,000,000",Private,,,,,Was Acquired,Active,1997,,For Profit,,,2,9,,,,,http://www.accesslan.com/,,,
Outsmart,https://www.crunchbase.com/organization/outsmart,"Information Technology, Mobile, Software","Noida, Uttar Pradesh, India",Outsmart is a developer of fixed mobile convergence technologies.,"175,693","Developer Platform, Information Technology, Mobile",Nov-50,,1,M&A,"May 9, 2005","$17,000,000",Venture - Series Unknown,"$17,000,000",Venture - Series Unknown,"$17,000,000","$17,000,000",Private,,,,,Was Acquired,Active,2001,,,,,,3,,,,,http://www.outsmarttelecom.com,,,
Brightmail,https://www.crunchbase.com/organization/brightmail-symantec,"Government and Military, Information Technology, Internet Services, Messaging and Telecommunications","Mountain View, California, United States",Email Filtering Company,"176,609","Email, Government",251-500,,2,M&A,"Jul 25, 2000","$35,000,000",Series C,"$35,000,000",Series C,"$35,000,000","$35,000,000",Private,,,,,Was Acquired,Active,1998,,For Profit,,,2,10,,,,,http://www.symantec.com/business/products/family.jsp?familyid=brightmail,,,
