Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series B - OkBuy.com,https://www.crunchbase.com/funding_round/okaybuy-series-b--8acc89b9,OkBuy.com,https://www.crunchbase.com/organization/okaybuy,Series B,"$17,000,000","Jul 15, 2010",Early Stage Venture,,Yes,3,
Series B - Komli Media,https://www.crunchbase.com/funding_round/komli-media-series-b--ad8e771e,Komli Media,https://www.crunchbase.com/organization/komli-media,Series B,"$6,000,000","Jul 14, 2010",Early Stage Venture,,Yes,3,1
Series E - SolarCity,https://www.crunchbase.com/funding_round/solarcity-series-e--4e78a6ae,SolarCity,https://www.crunchbase.com/organization/solarcity,Series E,"$21,400,000","Jul 14, 2010",Late Stage Venture,,Yes,4,5
Series A - GameSalad,https://www.crunchbase.com/funding_round/gamesalad-series-a--0b623b67,GameSalad,https://www.crunchbase.com/organization/gamesalad,Series A,"$1,000,000","Jul 14, 2010",Early Stage Venture,,Yes,11,2
Venture Round - Power Assure,https://www.crunchbase.com/funding_round/power-assure-series-unknown--7904e715,Power Assure,https://www.crunchbase.com/organization/power-assure,Venture - Series Unknown,"$11,250,000","Jul 14, 2010",,,Yes,3,2
Seed Round - Ambiq Micro,https://www.crunchbase.com/funding_round/ambiq-micro-seed--1484015d,Ambiq Micro,https://www.crunchbase.com/organization/ambiq-micro,Seed,"$250,000","Jul 1, 2010",Seed,,Yes,3,
Venture Round - Analyte Health,https://www.crunchbase.com/funding_round/analyte-health-series-unknown--2e3614e7,Analyte Health,https://www.crunchbase.com/organization/analyte-health,Venture - Series Unknown,"$2,500,000","Jun 30, 2010",,,Yes,1,
Venture Round - Edgar Online,https://www.crunchbase.com/funding_round/edgar-online-series-unknown--b3da4a63,Edgar Online,https://www.crunchbase.com/organization/edgar-online,Venture - Series Unknown,"$2,000,000","Jun 23, 2010",,,Yes,1,
Series B - Chef,https://www.crunchbase.com/funding_round/chef-series-b--d2461c4f,Chef,https://www.crunchbase.com/organization/chef,Series B,"$11,000,000","Jun 21, 2010",Early Stage Venture,,Yes,2,3
Series D - BrightSource Energy,https://www.crunchbase.com/funding_round/brightsource-energy-series-d--f39d92f8,BrightSource Energy,https://www.crunchbase.com/organization/brightsource-energy,Series D,"$150,000,000","May 20, 2010",Late Stage Venture,,Yes,6,1
Venture Round - Widetronix,https://www.crunchbase.com/funding_round/widetronix-series-unknown--d70fd8d1,Widetronix,https://www.crunchbase.com/organization/widetronix,Venture - Series Unknown,"$285,000","May 16, 2010",,,Yes,1,
Series B - EdeniQ,https://www.crunchbase.com/funding_round/edeniq-series-b--326024d4,EdeniQ,https://www.crunchbase.com/organization/edeniq,Series B,"$12,400,000","May 11, 2010",Early Stage Venture,,Yes,8,3
Series D - Tremor Video,https://www.crunchbase.com/funding_round/tremor-video-series-d--9ef4f003,Tremor Video,https://www.crunchbase.com/organization/tremor-video,Series D,"$40,000,000","Apr 28, 2010",Late Stage Venture,,Yes,8,3
Series D - Lumidigm,https://www.crunchbase.com/funding_round/lumidigm-series-d--0f1a2b84,Lumidigm,https://www.crunchbase.com/organization/lumidigm,Series D,"$2,099,997","Apr 23, 2010",Late Stage Venture,,Yes,1,
Series C - PubMatic,https://www.crunchbase.com/funding_round/pubmatic-series-c--0a5f7699,PubMatic,https://www.crunchbase.com/organization/pubmatic,Series C,"$7,500,000","Apr 15, 2010",Late Stage Venture,,Yes,3,3
Series C - Genomatica,https://www.crunchbase.com/funding_round/genomatica-series-c--6ca8ebbe,Genomatica,https://www.crunchbase.com/organization/genomatica,Series C,"$15,000,000","Apr 8, 2010",Late Stage Venture,,Yes,3,3
Series C - Box,https://www.crunchbase.com/funding_round/box-series-c--dca4064b,Box,https://www.crunchbase.com/organization/box,Series C,"$15,000,000","Apr 7, 2010",Late Stage Venture,,Yes,3,5
Series C - Solar Junction,https://www.crunchbase.com/funding_round/solar-junction-series-c--f103bc1b,Solar Junction,https://www.crunchbase.com/organization/solar-junction,Series C,"$13,300,000","Mar 17, 2010",Late Stage Venture,,Yes,3,2
Series C - Prudent Energy,https://www.crunchbase.com/funding_round/prudent-energy-series-c--7f0b3943,Prudent Energy,https://www.crunchbase.com/organization/prudent-energy,Series C,"$22,000,000","Mar 2, 2010",Late Stage Venture,,Yes,4,
Series C - EveryScape,https://www.crunchbase.com/funding_round/everyscape-series-c--27e6a408,EveryScape,https://www.crunchbase.com/organization/everyscape,Series C,"$6,000,000","Feb 18, 2010",Late Stage Venture,,Yes,3,1
Series D - Yodle,https://www.crunchbase.com/funding_round/yodle-series-d--4b957c4a,Yodle,https://www.crunchbase.com/organization/yodle,Series D,"$10,000,002","Feb 1, 2010",Late Stage Venture,,Yes,3,4
"Series A - LendKey Technologies, Inc.",https://www.crunchbase.com/funding_round/lendkey-technologies-inc-series-a--88ff6109,"LendKey Technologies, Inc.",https://www.crunchbase.com/organization/lendkey-technologies-inc,Series A,"$6,500,000","Jan 25, 2010",Early Stage Venture,,Yes,3,2
Venture Round - Draytek Technologies,https://www.crunchbase.com/funding_round/draytek-technologies-series-unknown--af6c6423,Draytek Technologies,https://www.crunchbase.com/organization/draytek-technologies,Venture - Series Unknown,"$350,000","Jan 14, 2010",,,Yes,1,
Series B - Flurry,https://www.crunchbase.com/funding_round/flurry-series-b--fd8d3bab,Flurry,https://www.crunchbase.com/organization/flurry,Series B,"$7,000,000","Jan 12, 2010",Early Stage Venture,,Yes,5,4
Venture Round - Konarka Technologies,https://www.crunchbase.com/funding_round/konarka-series-unknown--807c9b3d,Konarka Technologies,https://www.crunchbase.com/organization/konarka,Venture - Series Unknown,"$23,800,000","Jan 8, 2010",,,Yes,3,1
Series C - iYogi,https://www.crunchbase.com/funding_round/iyogi-series-c--1ac13bec,iYogi,https://www.crunchbase.com/organization/iyogi,Series C,"$15,000,000","Jan 6, 2010",Late Stage Venture,,Yes,4,1
Series D - BrightVolt,https://www.crunchbase.com/funding_round/solicore-series-d--de131ca4,BrightVolt,https://www.crunchbase.com/organization/solicore,Series D,"$1,100,000","Dec 28, 2009",Late Stage Venture,,Yes,4,1
Series B - Tioga Energy,https://www.crunchbase.com/funding_round/tioga-energy-series-b--39f9165f,Tioga Energy,https://www.crunchbase.com/organization/tioga-energy,Series B,"$20,000,000","Dec 18, 2009",Early Stage Venture,,Yes,4,2
Series A - Mobim,https://www.crunchbase.com/funding_round/mobim-series-a--8215bbe1,Mobim,https://www.crunchbase.com/organization/mobim,Series A,"$3,400,000","Dec 12, 2009",Early Stage Venture,,Yes,1,
Venture Round - Biofuelbox,https://www.crunchbase.com/funding_round/biofuelbox-series-unknown--3d5343f0,Biofuelbox,https://www.crunchbase.com/organization/biofuelbox,Venture - Series Unknown,"$5,200,000","Dec 6, 2009",,,Yes,2,
Series C - PPTV,https://www.crunchbase.com/funding_round/pptv-series-c--6dafa08e,PPTV,https://www.crunchbase.com/organization/pptv,Series C,"$15,000,000","Dec 2, 2009",Late Stage Venture,,Yes,2,1
Debt Financing - Panraven,https://www.crunchbase.com/funding_round/panraven-debt-financing--b421440e,Panraven,https://www.crunchbase.com/organization/panraven,Debt Financing,"$2,700,000","Dec 1, 2009",,,No,2,
Venture Round - Vizu Corporation,https://www.crunchbase.com/funding_round/vizu-series-unknown--0a575786,Vizu Corporation,https://www.crunchbase.com/organization/vizu,Venture - Series Unknown,"$6,750,000","Dec 1, 2009",,,Yes,4,2
Venture Round - EoPlex Technologies,https://www.crunchbase.com/funding_round/eoplex-technologies-series-unknown--79cd8e37,EoPlex Technologies,https://www.crunchbase.com/organization/eoplex-technologies,Venture - Series Unknown,"$3,800,000","Nov 30, 2009",,,Yes,3,2
Venture Round - GreatPoint Energy,https://www.crunchbase.com/funding_round/greatpoint-energy-series-unknown--d23a777d,GreatPoint Energy,https://www.crunchbase.com/organization/greatpoint-energy,Venture - Series Unknown,"$5,000,000","Nov 24, 2009",,,Yes,1,1
