Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Number of Investors,Number of Partner Investors,Equity Only Funding
Series B - Topspin Communications,https://www.crunchbase.com/funding_round/topspin-communications-series-b--c9e5228d,Topspin Communications,https://www.crunchbase.com/organization/topspin-communications,Series B,"$30,000,000","Jul 17, 2002",Early Stage Venture,,4,,Yes
Series B - E8 Storage,https://www.crunchbase.com/funding_round/e8-storage-series-b--5c52d107,E8 Storage,https://www.crunchbase.com/organization/e8-storage,Series B,"$12,300,000","May 10, 2016",Early Stage Venture,,3,2,Yes
Series D - Lookout,https://www.crunchbase.com/funding_round/lookout-series-d--d47c2652,Lookout,https://www.crunchbase.com/organization/lookout,Series D,"$40,000,000","Sep 21, 2011",Late Stage Venture,,4,3,Yes
Series C - myThings,https://www.crunchbase.com/funding_round/mythings-series-c--9b39194e,myThings,https://www.crunchbase.com/organization/mythings,Series C,"$6,000,000","Nov 23, 2010",Late Stage Venture,,5,1,Yes
Series B - Abe's Market,https://www.crunchbase.com/funding_round/abes-market-series-b--10f337a3,Abe's Market,https://www.crunchbase.com/organization/abes-market,Series B,"$5,000,000","Jan 17, 2013",Early Stage Venture,,5,3,Yes
Series C - Groove Networks,https://www.crunchbase.com/funding_round/groove-networks-series-c--bcb8f8b0,Groove Networks,https://www.crunchbase.com/organization/groove-networks,Series C,"$41,000,000","Oct 25, 2000",Late Stage Venture,,2,,Yes
Series B - Cloudera,https://www.crunchbase.com/funding_round/cloudera-series-b--aa2af4b2,Cloudera,https://www.crunchbase.com/organization/cloudera,Series B,"$6,000,000","Jun 2, 2009",Early Stage Venture,,2,5,Yes
Series D - HotelTonight,https://www.crunchbase.com/funding_round/hoteltonight-series-d--90d6c229,HotelTonight,https://www.crunchbase.com/organization/hoteltonight,Series D,"$45,000,000","Sep 5, 2013",Late Stage Venture,,6,4,Yes
Series B - Carwow,https://www.crunchbase.com/funding_round/carwow-series-b--43856200,Carwow,https://www.crunchbase.com/organization/carwow,Series B,"£12,500,000","Jan 13, 2016",Early Stage Venture,,4,2,Yes
Series B - Riverbed Technology,https://www.crunchbase.com/funding_round/riverbed-technology-series-b--708d11ed,Riverbed Technology,https://www.crunchbase.com/organization/riverbed-technology,Series B,"$10,000,000","Jan 6, 2004",Early Stage Venture,,6,1,Yes
Series C - CrowdStrike,https://www.crunchbase.com/funding_round/crowdstrike-series-c--7cbd7df9,CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,Series C,"$100,000,000","Jul 13, 2015",Late Stage Venture,,4,1,Yes
Series B - GetJar,https://www.crunchbase.com/funding_round/getjar-series-b--f385f1df,GetJar,https://www.crunchbase.com/organization/getjar,Series B,"$11,000,000","Jun 24, 2010",Early Stage Venture,,1,1,Yes
Series C - HotelTonight,https://www.crunchbase.com/funding_round/hoteltonight-series-c--a3b509f4,HotelTonight,https://www.crunchbase.com/organization/hoteltonight,Series C,"$23,000,000","Jun 5, 2012",Late Stage Venture,,4,4,Yes
Seed Round - Skydio,https://www.crunchbase.com/funding_round/skydio-seed--7e64c592,Skydio,https://www.crunchbase.com/organization/skydio,Seed,"$3,000,000","Jan 15, 2015",Seed,,3,,Yes
Series B - WeeWorld,https://www.crunchbase.com/funding_round/weeworld-series-b--65aea555,WeeWorld,https://www.crunchbase.com/organization/weeworld,Series B,"$15,500,000","Jan 1, 2006",Early Stage Venture,,2,1,Yes
Series A - High Gear Media,https://www.crunchbase.com/funding_round/high-gear-media-series-a--be1acef0,High Gear Media,https://www.crunchbase.com/organization/high-gear-media,Series A,"$6,500,000","Nov 1, 2007",Early Stage Venture,,2,1,Yes
Series C - Surfkitchen,https://www.crunchbase.com/funding_round/surfkitchen-series-c--6b8e5ccc,Surfkitchen,https://www.crunchbase.com/organization/surfkitchen,Series C,"$17,500,000","Jul 30, 2004",Late Stage Venture,,3,,Yes
Series B - Altor Networks,https://www.crunchbase.com/funding_round/altor-networks-series-b--aacab93c,Altor Networks,https://www.crunchbase.com/organization/altor-networks,Series B,"$10,000,000","Mar 2, 2010",Early Stage Venture,,4,1,Yes
Series B - Alfresco,https://www.crunchbase.com/funding_round/alfresco-series-b--31e53d28,Alfresco,https://www.crunchbase.com/organization/alfresco,Series B,"$8,000,000","Feb 8, 2006",Early Stage Venture,,2,2,Yes
Series B - myThings,https://www.crunchbase.com/funding_round/mythings-series-b--e317d052,myThings,https://www.crunchbase.com/organization/mythings,Series B,"$5,000,000","Oct 14, 2008",Early Stage Venture,,4,1,Yes
Series A - Birchbox,https://www.crunchbase.com/funding_round/birchbox-series-a--b1b6c81c,Birchbox,https://www.crunchbase.com/organization/birchbox,Series A,"$10,500,000","Aug 17, 2011",Early Stage Venture,,11,4,Yes
Series C - Sonatype,https://www.crunchbase.com/funding_round/sonatype-series-c--5cb23c18,Sonatype,https://www.crunchbase.com/organization/sonatype,Series C,"$25,000,000","Jul 10, 2012",Late Stage Venture,,5,4,Yes
Series B - Hailo,https://www.crunchbase.com/funding_round/hailo-series-b--f455149a,Hailo,https://www.crunchbase.com/organization/hailo,Series B,"$30,600,000","Dec 31, 2012",Early Stage Venture,,11,3,Yes
