Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Waze,https://www.crunchbase.com/organization/waze,"Apps, Mobile, Navigation and Mapping, Software, Transportation","Palo Alto, California, United States","Waze is a mobile navigation app that enables drivers to use live maps, and get real-time traffic updates and other road data.",886,2007,Active,,,,,,,,,3,51-100,3,M&A,"Oct 18, 2011","$30,000,000",Series C,"$30,000,000",Series C,"$67,000,000","$67,000,000",4,6,Was Acquired,Private,,,,
Path,https://www.crunchbase.com/organization/path,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile","San Francisco, California, United States",Path is a mobile photo-sharing and messaging service for building personal social networks with up to 150 contacts.,"1,083","Nov 1, 2010",Active,,For Profit,,,,,,,3,51-100,4,M&A,"Jan 10, 2014","$25,000,000",Series C,"$25,000,000",Series C,"$66,150,000","$66,150,000",3,38,"Made Acquisitions, Was Acquired",Private,,,,
Aerohive Networks,https://www.crunchbase.com/organization/aerohive-networks,"Hardware, Internet Services, Mobile","Sunnyvale, California, United States",Aerohive Networks develops cooperative control architecture that improves the efficiency of enterprise Wi-Fi systems.,"1,223",2006,Active,,For Profit,,,,,,,1,501-1000,6,IPO,"Jul 9, 2013","$10,000,000",Series F,"$10,000,000",Series F,"$104,952,382","$104,952,382",5,8,Made Acquisitions,Public,"Mar 28, 2014",,"$436,065,800","$75,000,000"
Foundation Medicine,https://www.crunchbase.com/organization/foundation-medicine,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",Foundation medicine is a molecular information company developing clinical diagnostic tests that facilitates personalized cancer therapies.,"1,309",2010,Active,,,,,1,1,,,1,251-500,4,M&A,"Jan 8, 2013","$13,500,000",Series B,"$13,500,000",Series B,"$96,500,000","$96,500,000",1,9,Was Acquired,Public,"Sep 25, 2013",,"$486,000,000","$106,000,000"
TESARO,https://www.crunchbase.com/organization/tesaro,"Biotechnology, Health Care, Science and Engineering","Waltham, Massachusetts, United States",TESARO is an oncology-focused biopharmaceutical company identifying better cancer therapies to improve the lives of patients with cancer.,"1,497","Mar 1, 2010",Active,,For Profit,,,,,,,2,101-250,5,IPO,"Apr 18, 2016","$49,999,960",Post-IPO Equity,"$49,999,960",Post-IPO Equity,"$456,999,875","$456,999,875",3,10,,Public,"Jun 28, 2012",,"$360,000,000","$81,000,000"
LifeLock,https://www.crunchbase.com/organization/lifelock,Privacy and Security,"Tempe, Arizona, United States",LifeLock is an identity theft protection company that protects its members' personal information from being used by a third party.,"1,635","Aug 1, 2005",Active,,,,,,,,,2,501-1000,7,M&A,"May 21, 2016",,Post-IPO Equity,,Post-IPO Equity,"$201,340,000","$201,340,000",5,10,"Made Acquisitions, Was Acquired",Public,"Oct 3, 2013",,"$776,775,267","$141,300,000"
Karma Automotive,https://www.crunchbase.com/organization/fisker,"Manufacturing, Software, Transportation","Irvine, California, United States",Karma Automotive is a manufacturer of world-class luxury hybrid cars.,"2,357",Aug 2007,Active,,For Profit,,,,,,,2,251-500,11,M&A,"Nov 21, 2016","SEK7,000,000",Venture - Series Unknown,"SEK7,000,000",Venture - Series Unknown,"$948,258,798","$1,477,258,798",3,11,Was Acquired,Private,,,,
RelateIQ,https://www.crunchbase.com/organization/relateiq,"Advertising, Sales and Marketing, Software","Palo Alto, California, United States","RelateIQ offers a relationship intelligence platform that allows teams to track, share and analyze professional relationships.","2,608",2011,Active,,For Profit,,,,,,,2,,4,M&A,"Mar 25, 2014","$40,000,000",Series C,"$40,000,000",Series C,"$69,000,000","$69,000,000",1,14,Was Acquired,Private,,,,
Twitter,https://www.crunchbase.com/organization/twitter,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","San Francisco, California, United States",Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets.”,"2,695","Mar 21, 2006",Active,,For Profit,,,2,2,,,4,1001-5000,9,IPO,"Dec 20, 2011","$300,000,000",Venture - Series Unknown,"$300,000,000",Venture - Series Unknown,"$1,060,166,511","$1,460,166,511",8,27,Made Acquisitions,Public,"Nov 7, 2013",,"$24,565,826,402","$1,820,000,000"
3VR,https://www.crunchbase.com/organization/3vr-security,"Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Software, Video","San Francisco, California, United States",3VR provides video business intelligence solutions for real-time security and customer insights,"2,806",2002,Active,,,,,,,,,2,11-50,7,M&A,"Jan 13, 2015","$8,000,000",Venture - Series Unknown,"$8,000,000",Venture - Series Unknown,"$61,000,000","$64,567,194",3,7,Was Acquired,Private,,,,
Jive Software,https://www.crunchbase.com/organization/jive-software,"Internet Services, Media and Entertainment, Software","Palo Alto, California, United States",Jive is an independent social business software vendor.,"2,844","Feb 7, 2001",Active,,For Profit,,,,,,,3,501-1000,8,M&A,"May 3, 2013","$7,274,794",Debt Financing,"$5,152,000",Venture - Series Unknown,"$62,152,000","$69,526,794",2,4,"Made Acquisitions, Was Acquired",Public,"Dec 13, 2011",,"$708,795,312","$161,275,200"
Dropcam,https://www.crunchbase.com/organization/dropcam,"Consumer Electronics, Hardware, Software","San Francisco, California, United States",Dropcam develops a Wi-Fi camera with easy setup and continuous cloud recording.,"2,855",2009,Active,,For Profit,,,,,,,2,51-100,4,M&A,"Jul 31, 2013","$30,000,000",Series C,"$30,000,000",Series C,"$47,800,000","$47,800,000",3,14,Was Acquired,Private,,,,
iControl Networks,https://www.crunchbase.com/organization/icontrol,"Privacy and Security, Software","Redwood City, California, United States",iControl Networks offers connected home solutions to households worldwide.,"3,074",2003,Active,,For Profit,,,,,,,3,51-100,5,M&A,"Jun 20, 2011","$50,000,000",Series D,"$50,000,000",Series D,"$93,500,000","$93,500,000",1,8,"Made Acquisitions, Was Acquired",Private,,,,
ServiceMax,https://www.crunchbase.com/organization/servicemax,"Information Technology, Internet Services, Software","Pleasanton, California, United States",ServiceMax provides field service management solutions for technicians through cloud and mobile software.,"3,203",2007,Active,,For Profit,,,,,,,2,251-500,7,M&A,"Jun 8, 2016",,Secondary Market,"$82,000,000",Series F,"$204,000,000","$204,000,000",6,17,Was Acquired,Private,,,,
Opower,https://www.crunchbase.com/organization/opower,"Energy, Government and Military, Information Technology, Software, Sustainability","Arlington, Virginia, United States",Opower is a SaaS-based customer engagement and energy efficiency company providing the tools consumers need to make better energy decisions.,"3,217",2007,Active,,For Profit,,,,,,,2,501-1000,5,M&A,"Apr 3, 2014",,Venture - Series Unknown,,Venture - Series Unknown,"$68,350,000","$68,350,000",5,9,Was Acquired,Public,"Apr 4, 2014",,"$901,736,941","$115,900,000"
Telogis,https://www.crunchbase.com/organization/telogis,"Navigation and Mapping, Software, Transportation","Aliso Viejo, California, United States","An award-winning, cloud-based software platform that has a transformative effect on the way companies do business outside the four walls.","3,354","Mar 1, 2001",Active,,For Profit,,,,,,,3,501-1000,7,M&A,"May 18, 2015","$40,000,000",Undisclosed,"$40,000,000",Undisclosed,"$141,280,000","$141,280,000",1,3,"Made Acquisitions, Was Acquired",Private,,,,
ARMO BioSciences,https://www.crunchbase.com/organization/armo-biosciences,"Biotechnology, Health Care, Science and Engineering","Redwood City, California, United States",ARMO Biosciences is a biotechnology company that develops immune modulatory biologic therapeutics.,"3,382",2013,Active,,,,,,,,,1,1-10,4,IPO,"Aug 29, 2017","$67,000,000",Series C,"$67,000,000",Series C,"$167,000,000","$167,000,000",3,13,,Public,"Jan 26, 2018",,"$497,000,000","$128,000,000"
Shopkick,https://www.crunchbase.com/organization/shopkick,"Commerce and Shopping, Internet Services, Media and Entertainment, Mobile","Redwood City, California, United States",Shopkick provides the most used shopping app for smartphones at physical stores and rewards users just for walking in.,"3,505","Jun 1, 2009",Active,,,,,,,,,3,51-100,5,M&A,"Mar 1, 2014",,Secondary Market,"$15,000,000",Series B,"$20,000,000","$26,700,000",1,8,"Made Acquisitions, Was Acquired",Private,,,,
Graphiq,https://www.crunchbase.com/organization/graphiq,"Artificial Intelligence, Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software","Santa Barbara, California, United States",Graphiq (formerly FindTheBest) is a data aggregation and visualization company.,"3,656","May 1, 2009",Active,,For Profit,,,,,,,3,101-250,4,M&A,"Oct 18, 2016","$15,000,000",Private Equity,"$15,000,000",Private Equity,"$32,000,000","$32,000,000",2,3,Was Acquired,Private,,,,
Upthere,https://www.crunchbase.com/organization/upthere,"Content and Publishing, Internet Services, Media and Entertainment, Software","Redwood City, California, United States",Upthere's mission is to care for humankind's information.,"3,780",2011,Active,,For Profit,,,,,,,3,51-100,1,M&A,"Jul 27, 2016","$77,000,000",Venture - Series Unknown,"$77,000,000",Venture - Series Unknown,"$77,000,000","$77,000,000",2,6,Was Acquired,Private,,,,
Friendster,https://www.crunchbase.com/organization/friendster,"Community and Lifestyle, Gaming, Internet Services, Media and Entertainment","Makati, Manila, Philippines",Friendster is a social gaming site focused on providing users with entertainment and fun.,"3,863","Jan 3, 2001",Active,,For Profit,,,1,1,,1,1,10001+,5,M&A,"Aug 5, 2008","$20,000,000",Series D,"$20,000,000",Series D,"$48,500,000","$48,500,000",4,7,Was Acquired,Private,,,,
Flipagram,https://www.crunchbase.com/organization/flipagram,"Content and Publishing, Internet Services, Media and Entertainment, Music and Audio, Video","Los Angeles, California, United States","Flipagram allows users to create and share compelling, visual stories with the music they love.","4,014","Oct 16, 2013",Active,,For Profit,,,,,,,3,51-100,1,M&A,"Jul 16, 2015","$70,000,000",Series B,"$70,000,000",Series B,"$70,000,000","$70,000,000",1,3,Was Acquired,Private,,,,
Pacific Biosciences,https://www.crunchbase.com/organization/pacific-biosciences,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Pacific Biosciences is a biotechnology company manufacturing systems for gene sequencing and real-time biological observations.,"4,038",2004,Active,,For Profit,,,,,,,2,251-500,7,IPO,"Feb 11, 2013","$20,500,000",Post-IPO Debt,"$109,000,000",Series F,"$339,220,000","$359,720,000",4,17,,Public,"Oct 27, 2010",,"$802,000,000","$200,000,000"
Swiftype,https://www.crunchbase.com/organization/swiftype,"Commerce and Shopping, Internet Services, Sales and Marketing, Software","San Francisco, California, United States","Swiftype, a Y Combinator-backed startup, builds fast & customizable search software for thousands of enterprises, websites and applications.","4,156","Jan 1, 2012",Active,,For Profit,,,,,,,2,11-50,4,M&A,"Mar 5, 2015","$13,000,000",Series B,"$13,000,000",Series B,"$22,200,000","$22,200,000",1,17,Was Acquired,Private,,,,
