Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Consolidated Edison,https://www.crunchbase.com/organization/consolidated-edison,"Energy, Sustainability","New York, New York, United States","Consolidated Edison, Inc. has served the world's most dynamic and demanding marketplace - metropolitan New York.","8,495",1823,Active,,For Profit,,,1,1,,1,,10001+,2,IPO,"Jan 12, 2012","$1,000,000",Grant,,,,"$1,179,997",,1,,Public,"Jan 13, 1978",,,
SAIC (Science Applications International),https://www.crunchbase.com/organization/saic,"Information Technology, Privacy and Security","Mclean, Virginia, United States","SAIC provides scientific, engineering, and systems integration and technical services and solutions.","10,842",1969,Active,,For Profit,,,5,7,1,4,,10001+,2,IPO,"Sep 13, 2010","$22,000,000",Post-IPO Equity,"$22,000,000",Post-IPO Equity,"$22,000,000","$22,131,700",1,2,Made Acquisitions,Public,"Jun 30, 2006",,,"$1,100,000,000"
Plug Power,https://www.crunchbase.com/organization/plug-power,"Energy, Natural Resources","Latham, New York, United States",Plug Power revolutionized the industry with cost-effective power solutions that increase productivity.,"11,391",1997,Active,,,,,,,,,,251-500,11,IPO,"Dec 23, 2016","$25,000,000",Post-IPO Debt,,,,"$29,081,584",1,2,Made Acquisitions,Public,"Oct 29, 1999",,"$633,000,000","$90,000,000"
EDO  ,https://www.crunchbase.com/organization/edo-corporation,Science and Engineering,"New York, New York, United States",EDO Corporation provides military products and professional services to the United States and allied governments.,"11,905",1925,Active,,For Profit,,,,,,,,1001-5000,2,M&A,"Jun 26, 2013","$1,000,000",Grant,,,,"$1,782,594",,1,"Made Acquisitions, Was Acquired",Private,,,,
Arcadis,https://www.crunchbase.com/organization/arcadis,"Natural Resources, Science and Engineering","Amsterdam, Noord-Holland, The Netherlands",The leading global natural and built asset design and consultancy firm.,"12,002",1888,Active,,For Profit,,,,,,,,10001+,1,IPO,"Sep 10, 2014","$22,496",Grant,,,,"$22,496",,1,Made Acquisitions,Public,"Mar 19, 2004",,,
NXP Semiconductors,https://www.crunchbase.com/organization/nxp-semiconductors,"Energy, Hardware, Manufacturing, Science and Engineering, Sustainability, Transportation","Eindhoven, Noord-Brabant, The Netherlands",NXP Semiconductors produces secure connectivity solutions for embedded applications,"12,105",2006,Active,,For Profit,,,2,2,1,1,,10001+,1,M&A,"Sep 5, 2003","$596,250",Grant,,,,"$596,250",,1,"Made Acquisitions, Was Acquired",Public,"Aug 6, 2010",,"$3,489,521,000","$476,000,000"
CarCharging,https://www.crunchbase.com/organization/carcharging,Transportation,"Miami Beach, Florida, United States",Car Charging Group develops electric car charging stations.,"20,204",2009,Active,,For Profit,,,,,,,1,11-50,3,IPO,"Jan 5, 2015","$6,000,000",Venture - Series Unknown,"$6,000,000",Venture - Series Unknown,"$6,000,000","$6,532,988",,1,Made Acquisitions,Public,"Jan 15, 2010",,,
Tecogen,https://www.crunchbase.com/organization/tecogen,"Energy, Science and Engineering, Sustainability","Waltham, Massachusetts, United States","Tecogen natural-gas-fueled, engine-driven Combined Heat and Power (CHP) products are bridges to a sustainable energy future, lowering cost.","20,748",1960,Active,,For Profit,,,,,,,,51-100,5,IPO,"Aug 5, 2015","$5,000,000",Post-IPO Equity,"$5,000,000",Post-IPO Equity,"$18,100,000","$18,250,181",1,2,Made Acquisitions,Public,"Aug 29, 2016",,,
Veeco Instruments,https://www.crunchbase.com/organization/veeco-instruments,"Hardware, Software","Plainview, New York, United States","Veeco provides process equipment solutions that enable the manufacture of LEDs, power electronics, hard drives, MEMS and wireless chips.","24,451",1990,Active,,For Profit,,,1,2,,,,501-1000,2,IPO,"Feb 7, 2011","$4,800,000",Grant,,,,"$4,853,498",,2,Made Acquisitions,Public,"Dec 9, 1994",,,
EV-Box,https://www.crunchbase.com/organization/ev-box,"Sustainability, Transportation","Amsterdam, Noord-Holland, The Netherlands",Market leader in electric vehicle (EV) charging solutions and services,"26,008","Jan 1, 2010",Active,,For Profit,,,,,,,,11-50,2,M&A,"Dec 16, 2016","$15,050",Grant,,,,"$15,050",,2,Was Acquired,Private,,,,
Beacon Power,https://www.crunchbase.com/organization/beacon-power,"Energy, Sustainability","Tyngsboro, Massachusetts, United States",Beacon Power develops flywheel energy storage systems for grid frequency regulation and other utility-grade storage applications.,"26,736",1997,Active,,,,,,,,,,51-100,4,IPO,"Aug 13, 2012","$200,000",Grant,,,,"$26,645,878",,2,,Public,"Nov 17, 2000",,,
Willdan Group,https://www.crunchbase.com/organization/willdan-group,"Information Technology, Professional Services, Science and Engineering","Anaheim, California, United States",Willdan Group (Willdan) is a company selling professional technical and consulting services to public agencies at all levels.,"28,662",1964,Active,,For Profit,,,,,,,,501-1000,3,IPO,"Dec 15, 2017","$6,300,000",Grant,,,,"$41,600,000",1,2,Made Acquisitions,Public,"Nov 21, 2006",,,"$29,000,000"
Consert,https://www.crunchbase.com/organization/consert,"Energy, Sustainability","San Antonio, Texas, United States",Consert is engaged in the design and implementation of intelligent energy distribution and management networks.,"28,759",2008,Active,,,,,,,,,,5001-10000,5,M&A,"Apr 10, 2012","$5,000,000",Debt Financing,"$6,999,767",Venture - Series Unknown,"$24,697,794","$33,168,438",,5,Was Acquired,Private,,,,
Crystal IS,https://www.crunchbase.com/organization/crystal-is,"Consumer Electronics, Hardware, Health Care, Natural Resources","Troy, New York, United States","Crystal IS manufactures UVC LEDs for monitoring, purifying and sterilizing applications for water, food, and healthcare industries.","29,062",1997,Active,,For Profit,,,,,,,1,51-100,5,M&A,"Aug 23, 2010","$4,000,000",Series B,"$4,000,000",Series B,"$25,270,000","$26,657,686",1,7,Was Acquired,Private,,,,
Umicore,https://www.crunchbase.com/organization/umicore,"Energy, Sustainability","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Umicore is a global materials technology and recycling group.,"29,335",1904,Active,,For Profit,,,,,,,,10001+,1,IPO,"Aug 5, 2014","$399,997",Grant,,,,"$399,997",,1,Made Acquisitions,Public,"Apr 1, 1999",,,
