Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Grant - Shurepower,https://www.crunchbase.com/funding_round/shurepower-grant--cbc374fe,Shurepower,https://www.crunchbase.com/organization/shurepower,Grant,"$804,147","Oct 12, 2005",,,No,1,
Grant - Environmental Energy Technologies,https://www.crunchbase.com/funding_round/environmental-energy-technologies-grant--c36f2080,Environmental Energy Technologies,https://www.crunchbase.com/organization/environmental-energy-technologies,Grant,"$349,310","Oct 12, 2005",,,No,1,
Grant - Innoventive Power,https://www.crunchbase.com/funding_round/innoventive-power-grant--c8a299e0,Innoventive Power,https://www.crunchbase.com/organization/innoventive-power,Grant,"$198,550","Oct 6, 2005",,,No,1,
Grant - Calmar Telematics,https://www.crunchbase.com/funding_round/calmar-telematics-grant--32836640,Calmar Telematics,https://www.crunchbase.com/organization/calmar-telematics,Grant,"$2,162,405","Oct 6, 2005",,,No,1,
Grant - Edison Price Lighting,https://www.crunchbase.com/funding_round/edison-price-lighting-grant--bab42944,Edison Price Lighting,https://www.crunchbase.com/organization/edison-price-lighting,Grant,"$167,500","Sep 22, 2005",,,No,1,
Grant - August Ninth Analyses,https://www.crunchbase.com/funding_round/august-ninth-analyses-grant--dc0a1c18,August Ninth Analyses,https://www.crunchbase.com/organization/august-ninth-analyses,Grant,"$227,000","Sep 22, 2005",,,No,1,
Grant - NextGen Fuel,https://www.crunchbase.com/funding_round/nextgen-fuel-grant--20b04037,NextGen Fuel,https://www.crunchbase.com/organization/nextgen-fuel,Grant,"$25,000","Sep 19, 2005",,,No,1,
Grant - Environmental Energy Technologies,https://www.crunchbase.com/funding_round/environmental-energy-technologies-grant--b18366ff,Environmental Energy Technologies,https://www.crunchbase.com/organization/environmental-energy-technologies,Grant,"$104,158","Sep 19, 2005",,,No,1,
Grant - RailComm,https://www.crunchbase.com/funding_round/railcomm-grant--828ecfb1,RailComm,https://www.crunchbase.com/organization/railcomm,Grant,"$372,499","Sep 15, 2005",,,No,1,
Grant - Intech 21,https://www.crunchbase.com/funding_round/intech-21-grant--8765e0d4,Intech 21,https://www.crunchbase.com/organization/intech-21,Grant,"$174,529","Sep 13, 2005",,,No,1,
